"";"sex";"age";"period";"CancerCM";"POP"
"851";1;23;23;131;1972793
"852";1;23;24;145;1988037
"853";1;23;25;118;1870389
"854";1;23;26;116;1781605
"855";1;23;27;123;1761210
"856";1;23;28;115;1819294
"857";1;23;29;110;1817832
"858";1;23;30;96;1886405
"859";1;23;31;105;1967562
"860";1;23;32;127;2044262
"861";1;23;33;103;2155051
"862";1;23;34;126;2163236
"863";1;23;35;123;2174726
"864";1;23;36;140;2186009
"865";1;24;1;211;1919125
"866";1;24;2;208;1780631
"867";1;24;3;208;1784485
"868";1;24;4;183;1785697
"869";1;24;5;188;1863415
"870";1;24;6;174;1916771
"871";1;24;7;200;1967682
"872";1;24;8;181;2020740
"873";1;24;9;153;2069298
"874";1;24;10;259;2082048
"875";1;24;11;195;2171172
"876";1;24;12;181;2184982
"877";1;24;13;169;2184256
"878";1;24;14;176;2183804
"879";1;24;15;177;2222091
"880";1;24;16;195;2190433
"881";1;24;17;143;2160795
"882";1;24;18;149;2139469
"883";1;24;19;154;2061682
"884";1;24;20;134;1964627
"885";1;24;21;143;1922933
"886";1;24;22;122;1901753
"887";1;24;23;122;1942251
"888";1;24;24;137;2009117
"889";1;24;25;146;2023762
"890";1;24;26;131;1902262
"891";1;24;27;134;1816489
"892";1;24;28;137;1795156
"893";1;24;29;122;1852780
"894";1;24;30;128;1872360
"895";1;24;31;112;1909161
"896";1;24;32;123;1990388
"897";1;24;33;129;2066208
"898";1;24;34;126;2158814
"899";1;24;35;125;2179948
"900";1;24;36;125;2193673
"901";1;25;1;167;1379621
"902";1;25;2;220;1909521
"903";1;25;3;213;1774212
"904";1;25;4;188;1779778
"905";1;25;5;184;1783915
"906";1;25;6;191;1862718
"907";1;25;7;200;1917930
"908";1;25;8;200;1972546
"909";1;25;9;188;2029435
"910";1;25;10;207;2062276
"911";1;25;11;218;2098067
"912";1;25;12;218;2182810
"913";1;25;13;201;2193217
"914";1;25;14;182;2189331
"915";1;25;15;195;2185216
"916";1;25;16;178;2221184
"917";1;25;17;171;2182527
"918";1;25;18;172;2149671
"919";1;25;19;148;2122834
"920";1;25;20;167;2055280
"921";1;25;21;178;1957958
"922";1;25;22;161;1930565
"923";1;25;23;127;1913188
"924";1;25;24;158;1960327
"925";1;25;25;131;2037250
